Name,Restaurant / Group,Geography,Outreach Tier,Instagram,LinkedIn,Influence,ForkFox Connection,Outreach Status,Channel,Notes
Bryan Sikora,"La Fia (Wilmington), Merchant Bar (Wilmington), Crow Bar (Wilmington) -- 4 resta",NJ/DE,Tier 1 — Priority,Not publicly confirmed,Not publicly listed,MEDIUM-HIGH ,"Sikora has deep roots across the tri-state food scene -- Philadelphia (Django), Chester County (Talula's Table), and now",Not Started,Email + LinkedIn,
Ellen Yin,"High Street Hospitality -- Fork (flagship, 1997), High Street, a.kitchen, The Br",Philly,Tier 1 — Philly,@therealellenyin,https://www.linkedin.com/in/ellen-yin-ab645a6/,HIGH -- One ,Yin is a hospitality-first restaurateur who deeply understands guest experience. Her Sisterly Love Collective work shows,Not Started,Email + LinkedIn,
Greg Vernick,"Vernick Food & Drink (flagship), Vernick Fish, Vernick Coffee Bar, Vernick Wine,",Philly,Tier 1 — Philly,@vernickphilly (33K followers),Not publicly listed,HIGH -- Risi,Vernick represents the modern American chef-entrepreneur who thinks about food as an experience across multiple formats ,Not Started,Email + LinkedIn,
Kevin Sbraga,"The Fat Ham (University City + King of Prussia), Sbraga (Philadelphia, 2011-2017",Philly,Tier 1 — Philly,@kevinsbraga,Not publicly listed,MEDIUM -- We,Sbraga bridges fine dining and casual concepts (Fat Ham's Southern comfort food vs. Fitler Club's multi-format dining). ,Not Started,Email + LinkedIn,
Tyler Akin,Le Cavalier at Hotel du Pont (departed Aug 2025); new Philadelphia projects (for,Philly,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- Re,Akin's transition from Le Cavalier to new Philadelphia projects represents a chef at a pivotal career moment -- exactly ,Not Started,Email + LinkedIn,
Chad Rosenthal,"Mary's (Ambler, PA)",Philly,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- We,Rosenthal's tableside approach shows he already thinks about individual dish experiences. His location in the suburbs (A,Not Started,Email + LinkedIn,
Will Langlois,"Bar Lucca (Conshohocken, PA)",Philly,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- Gr,Langlois represents the artisan chef-owner in the suburbs who obsesses over individual dish components (hand-designed ra,Not Started,Email + LinkedIn,
Dane DeMarco,"Gass & Main (Haddonfield, NJ)",NJ/DE,Tier 2 — Outreach,Not publicly confirmed (check @gassandma,Not publicly listed,MEDIUM -- Ri,"DeMarco's entire concept is about reimagining familiar dishes with refinement. Their approach to ""nostalgic comfort food",Not Started,Email + LinkedIn,
Maricel Presilla,"Cucharamama (Hoboken, permanently closed 2020), Zafra (closed); Gran Cacao Compa",NJ/DE,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- No,Presilla is a food scholar and cultural ambassador. Her expertise in Latin American cuisine at the dish and ingredient l,Not Started,Email + LinkedIn,
Jason Cichonski,"Attico, Messina Social Club, Tulip Pasta & Wine Bar, Angeloni's Club Madrid (ope",NJ/DE,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- Gr,Cichonski is building a restaurant group in Atlantic City -- a market dominated by celebrity chef outposts where indepen,Not Started,Email + LinkedIn,
Rob LaScala,"Chicken Or The Egg (Long Beach Island + Marlton), LaScala's (Brigantine)",NJ/DE,Tier 2 — Outreach,Not publicly confirmed,Not publicly listed,MEDIUM -- St,LaScala represents the beloved NJ Shore restaurateur whose dishes are iconic locally but underrecognized nationally. Chi,Not Started,Email + LinkedIn,
